Id,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate
0,1,0,0.0,0,1,0,0,0.09137055837563451
1,1,0,0.0375,0,1,0,0,0.08121827411167512
2,1,0,0.0125,0,1,1,0,0.3739424703891709
3,0,0,0.0,0,0,0,0,0.3790186125211506
4,1,0,0.025,0,1,1,0,0.9170896785109983
5,1,0,0.025,0,2,0,0,0.3840947546531303
6,1,0,0.0625,0,1,0,0,0.34348561759729274
7,0,0,0.0125,0,2,0,0,0.08121827411167512
8,1,0,0.0625,0,1,0,0,0.26903553299492383
9,1,0,0.1875,0,2,0,0,0.805414551607445
10,1,0,0.0125,0,1,1,0,0.24027072758037224
11,0,0,0.1375,0,1,0,0,0.9441624365482234
12,0,0,0.0,0,1,0,0,0.7021996615905245
13,1,1,0.225,1,1,0,0,0.24873096446700507
14,0,0,0.0375,0,1,1,0,0.005076142131979695
15,1,0,0.0,0,0,0,0,0.25380710659898476
16,1,0,0.0,2,0,0,0,0.001692047377326565
17,1,0,0.175,0,2,0,0,0.02030456852791878
18,0,0,0.0,0,0,0,0,0.001692047377326565
19,1,0,0.25,0,1,0,0,0.24196277495769883
20,1,0,0.0625,0,1,0,0,0.9035532994923858
21,1,0,0.0625,0,1,1,0,0.2893401015228426
22,1,0,0.025,0,1,1,0,0.23011844331641285
23,0,0,0.025,0,1,0,0,0.751269035532995
24,1,0,0.0,0,0,0,1,0.23181049069373943
25,0,0,0.0,0,1,0,0,0.2470389170896785
26,1,0,0.0625,0,1,0,0,0.5854483925549916
27,1,0,0.1,0,0,1,0,0.22504230118443316
28,1,0,0.0,3,1,0,1,0.43485617597292725
29,0,0,0.0,0,1,0,0,0.9441624365482234
30,1,0,0.025,0,1,0,0,0.09475465313028765
31,0,0,0.0,0,0,0,1,0.21658206429780033
32,1,0,0.0,0,0,0,0,0.3096446700507614
33,1,0,0.05,0,1,1,0,0.8510998307952623
34,1,0,0.025,0,1,0,0,0.8307952622673435
35,1,0,0.0,0,1,0,0,0.8307952622673435
36,1,0,0.0,0,0,0,0,0.21996615905245348
37,1,0,0.225,4,1,0,0,0.29441624365482233
38,0,0,0.0625,0,1,0,0,0.5617597292724196
39,1,0,0.3375,0,1,1,0,0.7343485617597293
40,1,0,0.0125,0,1,0,0,0.043993231810490696
41,0,0,0.0,0,0,0,0,0.3840947546531303
42,1,0,0.075,0,1,1,0,0.49238578680203043
43,1,0,0.025,0,1,0,0,0.9475465313028765
44,1,0,0.025,0,1,1,0,0.5854483925549916
45,1,0,0.0,0,0,0,0,0.008460236886632826
46,1,0,0.0,0,0,0,0,0.25888324873096447
47,1,0,0.0,0,1,0,0,0.751269035532995
48,1,0,0.025,0,1,1,0,0.43485617597292725
49,1,0,0.5,0,1,0,0,0.6852791878172588
50,1,0,0.0375,0,1,0,0,0.19796954314720813
51,1,0,0.1,0,1,0,0,0.7495769881556683
52,1,0,0.0,0,1,0,0,0.6395939086294417
53,1,0,0.075,0,1,1,0,0.9035532994923858
54,1,0,0.075,0,1,1,0,0.6582064297800339
55,1,0,0.05,0,1,0,0,0.8510998307952623
56,0,0,0.0,5,0,0,0,0.001692047377326565
57,1,0,0.0875,0,1,0,0,0.5854483925549916
58,0,0,0.0125,0,2,0,0,0.45346869712351945
59,1,0,0.0,0,0,0,0,0.00338409475465313
60,0,1,0.15,0,1,1,0,0.61082910321489
61,1,0,0.0,0,0,0,1,0.001692047377326565
62,1,0,0.0,0,1,0,0,0.937394247038917
63,1,0,0.125,0,2,0,0,0.6345177664974619
64,1,0,0.075,0,1,1,0,0.9170896785109983
65,1,0,0.1875,0,1,1,0,0.24196277495769883
66,1,0,0.05,0,1,0,0,0.6548223350253807
67,1,0,0.0875,0,1,0,0,0.61082910321489
68,1,0,1.0,0,1,0,0,0.09137055837563451
69,1,0,0.0,0,2,0,0,0.22673434856175972
70,0,0,0.0,0,2,0,1,0.018612521150592216
71,0,0,0.0,0,0,0,0,0.6040609137055838
72,0,0,0.0,6,1,0,0,0.7343485617597293
73,1,0,0.0125,0,1,0,0,0.8307952622673435
74,1,0,0.0625,0,1,1,0,0.61082910321489
75,0,0,0.0,0,0,0,0,0.001692047377326565
76,1,0,0.05,0,1,0,0,0.6852791878172588
77,0,0,0.0625,0,1,0,0,0.5025380710659898
78,1,0,0.0,0,1,1,0,0.077834179357022
79,0,0,0.0,0,0,0,1,0.3840947546531303
80,1,0,0.0,0,0,0,0,0.3096446700507614
81,0,0,0.0,0,1,0,0,0.41455160744500846
82,1,0,0.15,0,1,1,0,0.937394247038917
83,1,0,0.0125,0,0,0,0,0.41455160744500846
84,1,0,0.0,0,0,0,0,0.25888324873096447
85,1,0,0.0,0,0,0,0,0.2436548223350254
86,1,0,0.0125,0,1,1,0,0.9475465313028765
87,0,0,0.0,0,1,0,0,0.8307952622673435
88,0,0,0.0,7,0,0,1,0.5499153976311336
89,0,0,0.025,0,2,0,0,0.7478849407783418
90,1,0,0.0,0,0,0,0,0.637901861252115
91,1,0,0.05,0,1,0,0,0.6852791878172588
92,1,0,0.075,0,1,0,0,0.25549915397631134
93,0,0,0.0,0,0,0,1,0.2656514382402707
94,1,0,0.0,0,0,0,1,0.637901861252115
95,1,0,0.0,0,0,0,0,0.22504230118443316
96,0,0,0.0375,0,1,1,0,0.7868020304568528
97,1,0,0.0125,0,1,1,0,0.622673434856176
98,1,0,0.0875,0,1,1,0,0.2673434856175973
99,0,0,0.0,0,1,0,1,0.3824027072758037
100,1,0,0.075,0,1,1,0,0.6852791878172588
101,0,1,0.0,8,1,0,0,0.25549915397631134
102,1,0,0.0,0,0,0,0,0.18612521150592218
